id,code,name
l10n_pe_table_12_01,01,VENTA
l10n_pe_table_12_02,02,COMPRA
l10n_pe_table_12_03,03,CONSIGNACIÓN RECIBIDA
l10n_pe_table_12_04,04,CONSIGNACIÓN ENTREGADA
l10n_pe_table_12_05,05,DEVOLUCIÓN RECIBIDA
l10n_pe_table_12_06,06,DEVOLUCIÓN ENTREGADA
l10n_pe_table_12_07,07,PROMOCIÓN
l10n_pe_table_12_08,08,PREMIO
l10n_pe_table_12_09,09,DONACIÓN
l10n_pe_table_12_10,10,SALIDA A PRODUCCIÓN
l10n_pe_table_12_11,11,TRANSFERENCIA ENTRE ALMACENES
l10n_pe_table_12_12,12,RETIRO
l10n_pe_table_12_13,13,MERMAS
l10n_pe_table_12_14,14,DESMEDROS
l10n_pe_table_12_15,15,DESTRUCCIÓN
l10n_pe_table_12_16,16,SALDO INICIAL
l10n_pe_table_12_99,99,OTROS (ESPECIFICAR)

